"filename", "language", "Gradle", "Markdown", "Java Properties", "JSON", "XML", "Java", "TypeScript React", "Log", "Batch", "comment", "blank", "total"
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\TiledMaps\FinalBossTiled.tmx", "XML", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 92
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\TiledMaps\FirstLevelTiled.tmx", "XML", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 108
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\TiledMaps\LoveTiled.tmx", "XML", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 1, 119
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\TiledMaps\SecondLevelTiled.tmx", "XML", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 1, 129
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\TiledMaps\TutorialTiledSet.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 86
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\terra-mother-ui.json", "JSON", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 125
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\assets\terra-mother\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\build.gradle", "Gradle", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 75
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\build.gradle", "Gradle", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\characters\GameEntity.java", "Java", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\characters\MonsterNPC.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 8, 29
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\characters\Player.java", "Java", 0, 0, 0, 0, 0, 43, 0, 0, 0, 3, 15, 61
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\characters\SkeletonNPC.java", "Java", 0, 0, 0, 0, 0, 36, 0, 0, 0, 3, 16, 55
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\DeathFont.java", "Java", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\GeneralFont.java", "Java", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 14, 62
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\Level1Font.java", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\LiveFont.java", "Java", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 8, 24
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\MenuFont.java", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\gameFont\TutorialFont.java", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\game\Love.java", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 12, 34
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\BodyHelper.java", "Java", 0, 0, 0, 0, 0, 56, 0, 0, 0, 14, 17, 87
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\FadeOutEffect.java", "Java", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 11, 53
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\MonsterAnimation.java", "Java", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 15, 51
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\PlayerAnimation.java", "Java", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 22, 108
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\RandomMovement.java", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Animations\SkeletonAnimation.java", "Java", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 14, 61
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\BossBullet.java", "Java", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 21, 70
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\BossRain.java", "Java", 0, 0, 0, 0, 0, 153, 0, 0, 0, 1, 41, 195
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\DroppingAssets\GreenBullet.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\DroppingAssets\OmegaBullet.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\DroppingAssets\WhiteBullet.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\DroppingAssets\YellowBullet.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Immunity.java", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"c:\Users\Ayansu.DESKTOP-POLNVCN\Desktop\A-Love-Story\core\src\com\nana\helper\Lives.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 14
